signal_id,sample_code,scs_label,Ignition_Temp,Spectral Centroid,SNR_raw,Spectral Bandwidth 5,Spectral Entropy 4,Spectral Centroid 3,Kurtosis,RMS value,Absorption Proxy,P2P,Wave Energy 3,Acoustic Velocity,Peak Time,Spectral Centroid 2,Dominant Frequency 1 peak,Spectral Bandwidth 3,Wave Entropy,P2P-TDB3,Peak Duration,Spectral Centroid 4,Dominant Frequency 2 peak
Low_C14_P2_10,C14,Low,339.829,5.2916158536844105,19.220572090566655,0.07677947581393008,0.9625646515380295,0.6743201420753414,63.92865170811609,0.002250518246957895,0.00406518996245544,0.003493124250930186,1.7840506965352282e-11,795.7559681697613,7.54e-06,0.49245407783023026,0.22970903522205205,0.05279656338942662,0.8278661187285806,0.0001415920564374141,1.6519627209296253e-06,0.9104951252846282,0.42113323124042873
Low_C14_P3_05,C14,Low,339.829,5.248804910755337,19.048281469957537,0.0758240315132634,0.9445025810096712,0.6728746104403608,64.06809901489677,0.0022892531873087937,0.00414131616482708,0.003511154140965575,1.749759908390042e-11,765.3061224489796,7.84e-06,0.5022785958558016,0.3828483920367534,0.056943265705599336,0.8283193640433447,0.00012161383388460274,1.9105507358901356e-06,0.9128401617724723,0.49770290964777947
Low_C14_P3_10,C14,Low,339.829,5.231936735890735,20.961077101012418,0.07574592304955834,0.955183590517944,0.6703010849711888,62.899987250705884,0.0022841046108125805,0.00410458861105129,0.0035058119513254596,1.7253171292035876e-11,779.2207792207791,7.7e-06,0.4950092343708162,0.3828483920367534,0.05593730424021681,0.8252567935830434,9.582652997500721e-05,1.8560459760147371e-06,0.9116453166020181,0.49770290964777947
Low_C14_P4_05,C14,Low,339.829,5.207082629498305,20.93570186928172,0.076175087384891,0.9419443891799091,0.6774732645821132,61.114562882661446,0.0022677788906179056,0.00406385441504542,0.00350547806447296,1.6874500633644882e-11,726.3922518159806,8.26e-06,0.49205965449012395,0.34456355283307805,0.058912189902340456,0.8223000287309177,0.00011196083667074043,2.012502916449478e-06,0.9148724754982341,0.4594180704441041
Low_C14_P4_10,C14,Low,339.829,5.1088828928985,22.330597811264102,0.07635432391945532,0.9707667553637261,0.668727713505,60.95107151790421,0.0023030970885708365,0.00409357034491855,0.003439368467676527,2.0049184142047376e-11,748.1296758104738,8.02e-06,0.49139438445113276,0.34456355283307805,0.053761046103042096,0.8241247111906173,8.043468070609893e-05,1.920460970659224e-06,0.9063316239007625,0.4594180704441041
Low_C14_P5_05,C14,Low,339.829,5.200712154764624,20.562964259248698,0.07539146593635448,0.9659828714228327,0.6749196765415357,68.46201412582872,0.0022898111745752285,0.00408088264452328,0.0034096525378033895,2.0183549336122126e-11,819.672131147541,7.32e-06,0.49594670814915953,0.3828483920367534,0.05266228755828763,0.835769271128351,8.901363187990014e-05,1.6970097808169738e-06,0.9067394777228709,0.49770290964777947
Low_C14_P5_10,C14,Low,339.829,5.187334008206272,20.299766579976023,0.07628844914433108,0.9642490330695591,0.6772674008867114,65.17996882350647,0.0023177470667026722,0.00414766001502471,0.003457732244564418,2.1435888146895997e-11,835.6545961002786,7.18e-06,0.49030745266577563,0.3828483920367534,0.053931632792904825,0.8324627085285909,0.0001072113099698028,1.6930162009736415e-06,0.9087160063828471,0.42113323124042873
Low_C14_P6_05,C14,Low,339.829,5.05836313985312,19.875569831035595,0.07551984000998085,0.9689399338413899,0.6817916662541327,68.60047628423398,0.002230012041252276,0.00402779463497464,0.003157234077307959,1.760649848287255e-11,737.1007371007371,8.14e-06,0.5003878739884141,0.34456355283307805,0.0537230123032604,0.8313208303327378,5.368005591014431e-05,1.7327640323760281e-06,0.9092469025586931,0.4594180704441041
Low_C14_P6_10,C14,Low,339.829,5.009714320068267,20.098875222867182,0.07578803280583654,0.9653123647122069,0.6799508996324449,67.24387063077938,0.00229695243821875,0.00412629125646426,0.003204979897216487,2.1830239097830567e-11,733.4963325183375,8.18e-06,0.4979321140250332,0.34456355283307805,0.055412657367656035,0.8302795393650289,7.902276784998595e-05,2.064143060848899e-06,0.9089456555421197,0.4594180704441041
Low_C14_P7_05,C14,Low,339.829,5.247792883759542,19.71433996738537,0.07669639474158094,0.9854497597135549,0.67610605183822,71.37570910662151,0.002333911841364936,0.00409223479750853,0.003125180939467273,3.380306662383248e-11,779.2207792207791,7.7e-06,0.49724855922265365,0.3828483920367534,0.05464744812935691,0.8464573862525498,9.385542635272776e-05,1.6726995804606706e-06,0.9040959455548285,0.49770290964777947
Low_C14_P7_10,C14,Low,339.829,5.223002021617303,18.165491532564644,0.07531585629132366,0.9768571072510768,0.6756884743709054,77.87036980791889,0.002364211481653935,0.004184053681948,0.0031702556645557397,3.183587227227299e-11,779.2207792207791,7.7e-06,0.49976459244621696,0.3828483920367534,0.053987057815308874,0.8579400754874147,8.08839829203033e-05,1.6735321307922922e-06,0.9046367977926433,0.49770290964777947
Moderate_C6_P1_01,C6,Moderate,346.884,4.408711686991414,25.26485103879526,0.07403363366175142,0.8739548610909199,0.6785114162398216,220.78671746396665,0.002244026218472741,0.00437269975361455,0.00545604505681992,2.2653607309468273e-11,1522.8426395939084,3.94e-06,0.4863463302966791,0.30627871362940273,0.05757665231364724,0.8872222038128855,8.051099149179521e-05,1.8606101487147827e-06,0.8853174444605835,0.4594180704441041
Moderate_C6_P1_02,C6,Moderate,346.884,4.482480279655563,26.104179644223557,0.07633652197830927,0.8787734972918864,0.6799440758320003,224.18185722845243,0.002210366284845355,0.00435533763728418,0.00551213804804113,1.7973831790132284e-11,1546.3917525773195,3.88e-06,0.48597674545875197,0.30627871362940273,0.05961919717835414,0.8880277603102024,4.927788639510496e-05,2.0754646348849352e-06,0.8801118796770487,0.4594180704441041
