signal_id,sample_code,scs_label,Fixed_Carbon,RMS value,P2P,Dominant Frequency 1 peak,Spectral Entropy 2,Dominant Frequency 3 peak,Absorption Proxy,Dominant Frequency 2 peak,SNR_raw,Spectral Entropy 1,Spectral Entropy 3,Spectral Bandwidth 4,Spectral Centroid,Skew Value,SNR_Processed,Spectral Entropy 4,Spectral Centroid 1,Spectral Centroid 2,Spectral Bandwidth 1
Low_C4_P5_05,C4,Low,43.78,0.0022603063056505857,0.00549911646079336,0.22970903522205205,0.8677886013491463,0.6508422664624809,0.0043793774906647,0.49770290964777947,19.3960800099363,0.623092774325588,0.8255901489505919,0.05781293829601483,4.511399715348778,-8.995243720257085,15.382893972068896,0.8856000414977759,0.2845889334693334,0.5054671834839787,0.05261305683913254
Low_C4_P5_10,C4,Low,43.78,0.0022425343926679472,0.005509133066368551,0.22970903522205205,0.8767893548592423,0.6508422664624809,0.00436769145082693,0.49770290964777947,20.709318594897553,0.6547042804951617,0.7973920825168734,0.06063710440008956,4.530668873848661,-8.61715812504,15.07701570274679,0.9203364277831169,0.2840411346381158,0.5038572069830415,0.050497531716721
Low_C13_P1_05,C13,Low,40.61,0.0020608400844856047,0.00617690677138293,0.3828483920367534,0.7657478335097169,0.6125574272588055,0.00482545032561429,0.49770290964777947,21.054659146861464,0.7321636941021682,0.7377677603251013,0.0669614996112898,5.359276133419404,-1.159522074962466,22.230604724013148,0.9287618948380953,0.3220631775116087,0.48486491085327754,0.05576927328565569
Low_C13_P1_10,C13,Low,40.61,0.0021153768732156686,0.00630244822792565,0.3828483920367534,0.7104851391453256,0.6508422664624809,0.004927285815629,0.49770290964777947,20.133080446956427,0.6766313806727501,0.7338762083051137,0.06989979016732273,5.303496473432188,-1.500226777541031,21.730316572126377,0.9462665905404118,0.3236233084072938,0.48450593250573254,0.05447630213214688
Low_C13_P2_05,C13,Low,40.61,0.0021087451582286754,0.006273066184905,0.34456355283307805,0.919913445984182,0.7274119448698315,0.00493162634471157,0.4594180704441041,20.05844718446052,0.7604770331868117,0.991393166859081,0.06457432684046893,5.291071226313433,-1.011545394911283,19.907350016345983,0.9771289091776784,0.3227731089143231,0.4973623717440893,0.04923388940997886
Low_C13_P2_10,C13,Low,40.61,0.002159111377947882,0.00626572067414985,0.34456355283307805,0.8826410065853945,0.7274119448698315,0.00498438046740772,0.4594180704441041,20.468747870596466,0.8137493037171678,0.9921050791086655,0.06597983171495247,5.284977849955333,-0.9119431070711108,17.92776263746835,0.9575725145065255,0.3200236122799377,0.494237419123027,0.04734473101430682
Low_C13_P3_05,C13,Low,40.61,0.002167863092719235,0.0062567057291321605,0.3828483920367534,0.8985922396905113,0.6508422664624809,0.0049974020546555,0.42113323124042873,23.78602060449074,0.7276774467809839,0.7348003264831562,0.06743516830579221,5.162878808242473,-0.742670801133344,24.402423822275292,0.947667019821747,0.32056148705010407,0.4852705190956313,0.05840428730922569
Low_C13_P3_10,C13,Low,40.61,0.0021880966912142456,0.006198609416795909,0.3828483920367534,0.8722316907060259,0.6508422664624809,0.00498137548573515,0.42113323124042873,23.308736438753286,0.7205147946896954,0.7915015601147405,0.06934896376796623,5.091513214277977,-0.7522311968059822,21.346905017522456,0.9382124278289217,0.3200518135234934,0.4822509422272136,0.058933407152467254
Low_C13_P4_05,C13,Low,40.61,0.002115670895127071,0.006291096074940401,0.3828483920367534,0.7491973171342214,0.6508422664624809,0.00500074092318057,0.49770290964777947,20.805083949292566,0.7977360519032788,0.9075095553981646,0.06515245210517893,5.3486275625458255,-0.5403529894643245,22.565382635298707,0.9792521359970319,0.31812697466591283,0.48882773216629444,0.05689001445881086
Low_C13_P4_10,C13,Low,40.61,0.0021304315914229114,0.00624201470762185,0.3828483920367534,0.7792142018714086,0.6508422664624809,0.00494197683713931,0.49770290964777947,20.01461380589245,0.7898521803009254,0.912342768982749,0.06871075613227495,5.3862972938548905,-1.020372591392678,25.60783588789406,0.9623383349472253,0.3214669448728064,0.4903582281111028,0.05759345064892963
Low_C13_P5_05,C13,Low,40.61,0.002089150894312797,0.00633249804465129,0.3828483920367534,0.8525057787698944,0.6125574272588055,0.00499840371521302,0.49770290964777947,19.774937452880067,0.9010783033017008,0.7396070840205032,0.06341377228994682,5.297964095003971,-0.5914298504303648,25.33101870812605,0.8929856143404836,0.31034142374681684,0.49224294825850073,0.060042595677127455
Low_C13_P5_10,C13,Low,40.61,0.0020728912468607665,0.00630311600163066,0.3828483920367534,0.8541941900903557,0.6125574272588055,0.00490124264113343,0.49770290964777947,20.44152678164114,0.8826380468145434,0.7429037352807373,0.062188909064182646,5.367678080343695,-1.4284386775983187,22.266936247190642,0.905284551981808,0.31577349500561985,0.4894662888580773,0.059034702613301036
Low_C14_P1_05,C14,Low,46.52,0.002238979993536693,0.0032961310079509497,0.3828483920367534,0.7750993706172343,0.6125574272588055,0.0039887298732313,0.49770290964777947,21.21305434322398,0.8929262487761125,0.7719795046349486,0.06310405946403913,5.119775756036738,2.9657558569202958,25.306462722211343,0.9497454141185085,0.3100550466031156,0.4926312757756024,0.06029368336162599
