signal_id,sample_code,scs_label,Ash_Content,Area under FFT curve_raw,Magnitude of dominant frequency_raw,Spectral Bandwidth 1_raw,Spectral Bandwidth 2_raw,Spectral Bandwidth 3_raw,Spectral Area 1,Spectral Area 2,Spectral Area 3,Spectral Area 4,Spectral Entropy 1,Spectral Entropy 2,Spectral Entropy 3,Spectral Entropy 4,Absorption Proxy_proc,Peak Time_proc,Rise time_proc,Fall time_proc,Signal Energy_proc,Area under the curve_proc,1st peak magnitude/2nd peak magnitude
Low_C14_P5_10,C14,Low,13.09,0.00024296846373517177,3.644483105431995e-05,0.05883687321804307,0.05238327228290995,0.053931632792904825,3.6006120956023067e-06,2.4879368651690057e-06,1.7532351696120448e-06,1.7516314594130253e-06,0.9185400106263388,0.7739098987779729,0.9269061263777892,0.9642490330695591,0.00414766001502471,7.18e-06,1.3098373790263985e-06,1.0548260207508045e-06,2.8045817505076403e-06,8.246411469255212e-10,1.4452279297083954
Low_C14_P6_05,C14,Low,13.09,0.00023162372456048103,3.51898276160895e-05,0.05792252936506422,0.04998101166933924,0.0537230123032604,3.2834835094811878e-06,3.1148124350982424e-06,1.6194292410674242e-06,2.0977596861604455e-06,0.8369041627306093,0.7520334197223932,0.9532130057147097,0.9689399338413899,0.00402779463497464,8.14e-06,1.7995593766859346e-06,3.234244506130891e-06,2.977393519205749e-06,7.72957174569562e-10,1.027713314432866
Low_C14_P6_10,C14,Low,13.09,0.00023589804864671953,3.789554439904352e-05,0.057580703015252956,0.04810783602347175,0.055412657367656035,3.5391436953448194e-06,3.2385387083964116e-06,1.7823750480537313e-06,2.15499297608391e-06,0.8409542760279818,0.7283699280081783,0.9162909463410311,0.9653123647122069,0.00412629125646426,8.18e-06,1.1254966220306807e-06,3.000429725123463e-06,3.232460769693861e-06,7.811363849552509e-10,1.135831555108264
Low_C14_P7_05,C14,Low,13.09,0.00024037501303755793,3.1787723860575815e-05,0.0612823178007921,0.050283364809339835,0.05464744812935691,3.166340716754756e-06,3.378966856806132e-06,2.216006832219148e-06,1.9039125845706234e-06,0.8634155401093049,0.9029951048581601,0.9024473975078794,0.9854497597135549,0.00409223479750853,7.7e-06,2.574832434746529e-06,2.730126674655502e-06,2.519660136047411e-06,8.148579005159159e-10,1.0378038574615738
Low_C14_P7_10,C14,Low,13.09,0.00024025110773067995,3.112782509438252e-05,0.06087029669546442,0.04913267390447552,0.053987057815308874,3.0519811631856206e-06,3.1933912988850344e-06,2.156037108464765e-06,1.6973997204117534e-06,0.8651600905064124,0.8800251107188435,0.916750233899599,0.9768571072510768,0.004184053681948,7.7e-06,1.0306826311254163e-06,2.877671123897649e-06,2.000112802131551e-06,7.336638649379325e-10,1.1416227544284752
Moderate_C6_P1_01,C6,Moderate,23.81,0.00026610453896621776,4.599537283771767e-05,0.041945033910416936,0.05150923543380758,0.05757665231364724,3.1567687639747624e-06,4.978085628161515e-06,1.8004368323599002e-06,1.2249304490353883e-06,0.7598873902333868,0.9164981907571494,0.9002657338694567,0.8739548610909199,0.00437269975361455,3.94e-06,9.330473080882268e-07,4.658666681896922e-06,6.088868319916314e-06,1.0355399420479655e-09,1.8731621019629638
Moderate_C6_P1_02,C6,Moderate,23.81,0.000266192945763126,4.2953254723025286e-05,0.04347531859965384,0.05215551999207429,0.05961919717835414,3.50351139218006e-06,4.771898980545398e-06,1.5786267774372556e-06,1.3254874265418721e-06,0.7509301897470704,0.9240468604657124,0.8687554612469888,0.8787734972918864,0.00435533763728418,3.88e-06,8.670511292788769e-07,4.765706339533557e-06,5.786884072293491e-06,1.0359212999953373e-09,2.0002085779166814
Moderate_C6_P1_03,C6,Moderate,23.81,0.0002642206957175014,4.496200225789613e-05,0.03758990481969963,0.052539379426194424,0.05823508156511688,3.0721679235973075e-06,4.645683636261344e-06,1.6965601930975654e-06,1.3175808439665495e-06,0.6729054375646273,0.8976994935225235,0.9428395604759461,0.8726471158523266,0.00433931106836383,3.88e-06,9.411106116071264e-07,4.896900761902527e-06,5.375445087873176e-06,1.026325977513773e-09,2.1268995084740325
Moderate_C6_P1_04,C6,Moderate,23.81,0.0002653083110498032,4.056217663150386e-05,0.04077227914669689,0.05075119694398728,0.05956419137842676,3.086706485794699e-06,4.503847728512536e-06,1.7039299394816873e-06,1.2923269632854024e-06,0.7284643995219113,0.9027653777000617,0.8692720329818948,0.89062441896752,0.00429290079586533,3.96e-06,1.0200429743435487e-06,3.861362340809616e-06,5.28203918004967e-06,9.624827318050786e-10,1.7569143656260138
Moderate_C6_P1_05,C6,Moderate,23.81,0.000265250090077564,4.192070620844706e-05,0.046179932102559426,0.05160511356210087,0.059247243618010835,3.3874864118960542e-06,4.737268821766562e-06,1.6373171773072247e-06,1.3481836792597368e-06,0.8367510346914545,0.916685814017183,0.9132938864466816,0.8825008375631597,0.00438705688827237,3.8e-06,1.1057677835611083e-06,4.835936956736218e-06,5.768973297139842e-06,1.0627988314416905e-09,1.510404160794493
Moderate_C6_P1_06,C6,Moderate,23.81,0.0002669519580899894,4.10037890165335e-05,0.04249043898345646,0.052984932126533546,0.05813521369810117,3.1822792096488563e-06,4.642269227756549e-06,1.3884965731779304e-06,1.3683849978501238e-06,0.7908663000833566,0.93528692199823,0.8837593753114502,0.8306600080940927,0.00439707349384758,3.96e-06,1.048676081694383e-06,3.918842988053213e-06,5.262827106154646e-06,9.889903599947001e-10,2.1442337393567383
Moderate_C6_P1_07,C6,Moderate,23.81,0.00026645219260300145,4.3345985583140815e-05,0.040482500543851344,0.05212297898242218,0.057652522934096395,3.17631678022657e-06,4.585817730331224e-06,1.625351513742721e-06,1.3810390003049147e-06,0.7409365805133864,0.9121764541052076,0.9301893010867905,0.8829239134019874,0.00441310006276793,3.88e-06,9.43180522865616e-07,4.599252319961155e-06,5.250384173529652e-06,1.0179719687468462e-09,2.142172391399344
Moderate_C6_P1_08,C6,Moderate,23.81,0.00026509171135591337,4.171400558076071e-05,0.043897409214723127,0.052232798646688165,0.060047663663182566,3.1952305496234113e-06,4.5068313530173205e-06,1.4510692741248193e-06,1.3174121068935719e-06,0.7744815042143693,0.9108673302565466,0.8061374169973996,0.8450597806857671,0.00435901039266176,4.04e-06,1.015002481383487e-06,3.8109319576321517e-06,5.30895158778755e-06,1.0194675213908572e-09,1.9620004582832167
Moderate_C6_P1_09,C6,Moderate,23.81,0.00026570170136983674,4.2777603428429085e-05,0.04198659976025632,0.05151508485627054,0.060152683406056846,3.0894227993368013e-06,4.527580223401432e-06,1.6309049860043322e-06,1.4158909557901257e-06,0.7293094299286396,0.8963419916348566,0.878093883974023,0.8605771069744707,0.00442845885798325,3.88e-06,8.759322312805573e-07,3.7505822911852516e-06,5.375596743747899e-06,9.79723714123269e-10,1.530390996236423
